BZR,Name,ZSPRL
1,Innenstadt,000-001
2,Mariahilf-St. Nikolaus,010-015
1,Innenstadt,020-041
3,Dreiheiligen-Schlachthof,050-053
4,Saggen,060-061
4,Saggen,070-075
3,Dreiheiligen-Schlachthof,080-081
5,Wilten,100-107
5,Wilten,110-119
5,Wilten,120-124
5,Wilten,130-134
6,Sieglanger,140
6,Mentlberg,150-153
7,Pradl,200-203
7,Pradl,210-215
7,Pradl,220-224
7,Pradl,230-232
7,Pradl,240-246
8,Reichenau,250-256
8,Reichenau,260-263
9,Hötting-Mitte,300-306
12,Hungerburg-Hötting,310-311
10,Höttinger Au,320-323
10,Höttinger Au,330-339
11,Hötting West,340-345
11,Hötting West,350-357
11,Hötting West,360-361
13,Mühlau,400-404
12,Hungerburg,410
14,Mühlau-Ost,420
16,Olympisches Dorf,430-431
17,Amras,500-502
17,Amras,510-515
18,Rossau,520-522
15,Arzl,600-605
15,Arzl,610-612
14,Mühlau-Ost,620-622
16,Olympisches Dorf,630-634
19,Vill,700
20,Igls,800-802
