ZSPR,0_2,3_5,6_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_999,year
0,3,7,7,6,14,52,51,27,22,27,13,28,23,23,15,12,13,15,2,2017
1,14,12,14,19,34,226,189,108,51,45,33,59,34,31,33,23,28,18,18,2017
10,8,7,6,7,7,67,66,47,32,26,31,18,23,18,13,17,16,4,11,2017
11,25,14,11,26,45,139,146,98,58,52,58,73,45,37,27,19,13,7,6,2017
12,35,16,17,29,45,140,145,95,79,61,65,73,59,45,54,52,45,14,15,2017
13,10,10,11,17,20,54,45,29,26,26,27,29,23,26,27,26,31,22,75,2017
14,23,11,19,22,24,48,83,47,55,36,35,34,31,21,27,15,13,4,5,2017
15,12,12,10,21,10,29,50,38,28,26,36,27,12,10,17,16,13,7,6,2017
20,6,6,10,5,23,75,78,40,53,29,19,19,17,15,11,11,5,5,10,2017
21,17,21,16,11,23,252,203,109,54,40,47,37,60,28,34,29,41,26,70,2017
30,16,14,12,24,38,177,194,101,67,35,60,43,55,34,28,19,36,20,13,2017
31,17,6,13,9,24,171,145,85,40,37,19,23,18,12,13,11,3,2,4,2017
32,9,15,12,18,18,114,136,59,56,40,33,30,34,22,36,32,30,20,40,2017
33,2,0,2,1,26,102,37,10,5,1,5,4,2,2,3,3,4,1,1,2017
40,9,5,4,11,13,75,88,42,17,15,21,24,12,9,14,13,12,4,7,2017
41,26,20,24,19,44,363,293,128,81,40,63,46,48,41,31,21,11,14,14,2017
50,19,19,13,7,15,38,42,56,32,21,27,18,23,15,14,11,13,1,7,2017
51,20,25,15,25,47,188,148,89,71,67,55,56,52,44,44,29,23,7,7,2017
52,18,12,10,15,19,79,91,53,40,30,37,39,26,38,26,23,19,8,3,2017
53,11,6,9,17,36,102,90,62,46,46,61,58,36,18,10,26,39,13,12,2017
60,29,24,46,44,44,71,96,74,52,51,54,47,47,41,35,35,31,16,16,2017
61,11,17,17,11,23,65,79,64,28,37,26,34,23,30,23,23,21,16,9,2017
