OBJECTID,Bezeichnung,Adresse,Link,X,Y,Lon,Lat
1,Mozarteum - Musikpädagogik Innsbruck,Innrain 15,http://www.moz.ac.at/muspaed-innsbruck/,80026.5953000002,236941.1196,11.390493688,47.266464382
2,Tiroler Landeskonservatorium,Paul-Hofhaimer-Gasse 6,http://www.konstirol.at/,80637.8531999998,237053.8177,11.398589729,47.2674032990001
3,MCI I+II - Management Center Innsbruck,Universitätsstraße 15a,http://www.mci.edu/,80622.0174000002,237256.5722,11.398416992,47.2692286390001
4,MCI IV - Management Center Innsbruck,Maximilianstraße 2,http://www.mci.edu/,80210.4643000001,236518.758099999,11.3928473170001,47.262643638
5,Tourismuskolleg Innsbruck,Klostergasse 5,http://www.tourismuskolleg.tsn.at/,80810.6231000004,235614.754000001,11.400612897,47.254440399
6,PHT - Pädagogische Hochschule Tirol (Adamgasse),Adamgasse 22,http://www.ph-tirol.ac.at,80591.7359999996,236424.2225,11.3978672050001,47.2617469030001
7,PHT - Pädagogische Hochschule Tirol,Pastorstraße 7,http://www.ph-tirol.ac.at,80428.2659999998,235489.4246,11.3955399700001,47.2533600990001
8,FH Gesundheit,Innrain 98,http://www.fhg-tirol.ac.at/,79230.3668999998,236063.773399999,11.379819012,47.2586705410001
9,Ausbildungszentrum West für Gesundheitsberufe,Innrain 98,http://www.azw.ac.at/,79216.1054999996,236045.205,11.3796273400001,47.258505267
10,MCI III - Management Center Innsbruck,Weiherburggasse 8,http://www.mci.edu/,80542.6568999998,238353.134,11.3975656370001,47.2790998840001
11,Kirchliche Pädagogische Hochschule Edith Stein,Riedgasse 11,http://www.kph-es.at/,79799.5258999998,237586.123600001,11.3876085900001,47.2722925790001
12,MCI V - Management Center Innsbruck,Kapuzinergasse 11,http://www.mci.edu/,80947.8595000003,237374.4222,11.4027434330001,47.2702484860001
13,PHT - Pädagogische Hochschule Tirol (Leopoldstr.),Leopoldstraße 3,http://www.ph-tirol.ac.at,80389.7263000002,236436.922499999,11.3952008270001,47.261885813
14,PHT - Pädagogische Hochschule Tirol (Feldstraße),Feldstraße 1,http://www.ph-tirol.ac.at,80359.1667999998,235647.9333,11.394655685,47.25479403
