OBJECTID,Bezeichnung,Adresse,Link,X,Y,Lon,Lat
1,Medzinische Universität,Innrain 52,http://www.i-med.ac.at,79588.462899999693000,236569.819399998990000,11.384639250000101,47.263178326999999
2,Universitätsbibliothek - Landesbibliothek,Innrain 50,http://www.uibk.ac.at/ulb/,79660.653099999807000,236626.592999999990000,11.385603041000101,47.263680170999997
3,Universität - Theologie,Karl-Rahner-Platz 1-3,http://www.uibk.ac.at,80553.784500000096000,237182.970899999000000,11.397502239000101,47.268575086000098
4,Universität,Innrain 52,http://www.uibk.ac.at,79567.173399999694000,236556.695800001010000,11.384355666000101,47.263062877000003
5,Universität - SOWI,Universitätsstraße 15,http://www.uibk.ac.at,80649.762500000201000,237332.859399999990000,11.398797304000100,47.269911301000000
6,OeH - HochschülerInnenschaft Innsbruck,Josef-Hirn-Straße 5-7,http://www.oehweb.at/,79720.916400000497000,236784.893100001010000,11.386427342999999,47.265096499000002
7,Universität - Chemie. Pharmazie,Innrain 80-82,http://www.uibk.ac.at,79345.014899999805000,236223.774999999990000,11.381361813000099,47.260095664000097
8,Universität - Zentrum für alte Kulturen,Langer Weg 11,http://www.uibk.ac.at,82602.589100000405000,237009.991199999990000,11.424539434000099,47.266765538000101
9,Universität - Botanik,Sternwartestraße 15,http://www.uibk.ac.at/botany/,79130.491700000101000,237101.491699998990000,11.378682894000100,47.268014967000099
10,Universitäts-Sportinstitut - USI,Fürstenweg 185,http://www.uibk.ac.at/usi/,77454.454699999696000,235834.286400000010000,11.356319720000000,47.256817980999998
11,Universität - Technik,Technikerstraße 15,http://www.uibk.ac.at,76521.389899999805000,236673.241599998990000,11.344137593000100,47.264472039000097
