OBJECTID,Bezeichnung,Adresse,Link,X,Y,Lon,Lat
1,Volksschule Innere Stadt,Angerzellgasse 12,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2915,80451.586299999602000,237119.443399999000000,11.396140566000000,47.268016272000096
2,Volksschule St. Nikolaus,Innallee 3,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2925,80187.309799999901000,237493.982300000000000,11.392715954000000,47.271416807000001
3,Volksschule Dreiheiligen,Jahnstraße 5,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2909,81023.905000000304000,237226.639599999010000,11.403721466000100,47.268910102000099
4,Volksschule Saggen / Innsbruck Elementary School,Siebererstraße 7,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2923,80990.202999999703000,237662.424200000010000,11.403354972000001,47.272833315000099
5,Priv. Volksschule d. Barmherzigen Schwestern,Falkstraße 28,http://www.barmherzige-schwestern.at/kettenbruecke/vshs.htm,81048.435299999997000,238292.718900001000000,11.404238475000099,47.278494458000097
6,Volksschule Fischerstraße,Franz-Fischer-Straße 38,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2910,79950.279199999801000,236078.618400000010000,11.389331562000100,47.258717029000103
7,Volksschule Altwilten,Leopoldstraße 15,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2905,80437.653599999801000,236291.088300000990000,11.395807802000100,47.260568448000100
8,Praxisvolksschule PHT (Pädag. Hochschule),Klostergasse 7,http://praxis-vs.tsn.at/,80826.721300000296000,235577.328600001000000,11.400818786000100,47.254101851000101
9,Volksschule Sieglanger,Weingartnerstraße 26,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2926,78213.220700000398000,235351.453299999000000,11.366258379000000,47.252386063000102
10,Volksschule Pradl-Leitgeb II,Pradler Platz 8,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2920,81327.772099999696000,237017.417300000990000,11.407698262000100,47.266991066000102
11,Volksschule Pradl-Leitgeb I,Pradler Platz 8,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2919,81352.726200000398000,237028.082100000000000,11.408029887000099,47.267083892000102
12,Montessorischule (Pontlatzer Straße),Pontlatzer Straße 38,http://www.montessori-innsbruck.at/schule.htm,83852.570899999700000,237932.103200000010000,11.441226317000099,47.274900047000102
13,Volksschule Reichenau,Wörndlestraße 3,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2922,82142.058699999907000,237595.457100000000000,11.418562404000101,47.272088312999998
14,Volksschule Hötting,Schulgasse 4,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2911,79658.454099999697000,237554.660800001000000,11.385738985000000,47.272026718000099
15,Volksschule Angergasse,Angergasse 18,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2908,78402.399000000194000,236218.730500000010000,11.368908762000000,47.260163208999998
16,Volksschule Mariahilf,Dr.-Sigismund-Epp-Weg 3,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2916,79664.219999999696000,237118.056600001000000,11.385737535000100,47.268099562000103
17,Volksschule Allerheiligen,Karl-Innerebner-Straße 70,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2903,77475.731599999606000,237034.069900000000000,11.356808153000101,47.267605457000101
18,Volksschule Hötting-West,Viktor-Franz-Hess-Straße 7a,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2912,76598.273600000000000,236923.905900000010000,11.345196178000000,47.266717398000097
19,Volksschule Mühlau,Hauptplatz 3,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2917,81669.706100000098000,238878.376800000990000,11.412555177000099,47.283684506999997
20,Priv. Christliche Volksschule (Every Nation),Josef-Wilberger-Straße 9,http://www.christliche-schule.at/,83272.056800000399000,238208.821699999010000,11.433607072000100,47.277462305000100
21,Volksschule Arzl,Framsweg 19,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2907,82720.638899999700000,238974.047499999000000,11.426461856000101,47.284413567000101
22,Volksschule Neuarzl,Rotadlerstraße 10,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2918,83528.667199999996000,237926.533199998990000,11.436945337000100,47.274891153000098
23,Volksschule Amras,Kirchsteig 8,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2906,82929.138799999797000,236099.326800000010000,11.428685173000099,47.258534816000100
24,Volksschule Pradl-Ost,Siegmairstraße 1,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2921,82408.764100000306000,236758.077199999010000,11.421932352000100,47.264524350999999
25,Volksschule Igls-Vill,Habichtstraße 9,http://www.innsbruck.gv.at/page.cfm?vpath=bildung--kultur/schulen/volksschulen/detail&genericpageid=2913,81313.388600000195000,233125.934900001010000,11.406802674000099,47.231996172000002
