OBJECTID,Bezeichnung,Adresse,Link,X,Y,Lon,Lat
1,BRG Innsbruck Adolf-Pichler-Platz,Adolf-Pichler-Platz 1,http://www.brg-app.tsn.at/,80176,816900000005000,236921,153800000000000,11,392474802000001,47,266266547000001
2,Akademisches Gymnasium Innsbruck,Angerzellgasse 14,http://www.agi.tsn.at/,80555,947399999903000,237107,572000001000000,11,397517260000100,47,267896748000098
3,HTBLVA Anichstraße,Anichstraße 26-28,http://www.htlinn.ac.at/,79952,773400000297000,236762,143100001010000,11,389486440000001,47,264863785999999
4,BORG Innsbruck,Fallmerayerstraße 7,http://www.borg-ibk.tsn.at/,80190,704300000303000,236623,187899999000000,11,392604958000000,47,263585198999998
5,BG/BRG Sillgasse,Sillgasse 10,http://www.bg-sillgasse.tsn.at/,80682,660799999707000,237074,886299998990000,11,399185518000101,47,267587280999997
6,Berufsschule St. Nikolaus,Innstraße 36,http://www.tfbs-stnikolaus.tsn.at/home,80285,580600000001000,237718,688999998990000,11,394054675000101,47,273425647000103
7,Ferrarischule (HBLA),Weinhartstraße 4,http://www.ferrarischule.tsn.at/,81053,653900000296000,237148,811100001010000,11,404100436000100,47,268206518000099
8,BHAK/BHAS Innsbruck,Karl-Schönherr-Straße 2,http://www.hak-ibk.tsn.at/web/,80758,532200000205000,237932,898800001010000,11,400342610999999,47,275294197000100
9,Kath. ORG der Barmherzigen Schwestern,Rennweg 40,http://www.barmherzige-schwestern.at/kettenbruecke/org.htm,81090,604899999700000,238362,239999999990000,11,404808322000100,47,279114473000099
10,Kath. BA f. Kindergartenpädag. Barmh. Schwestern,Falkstraße 28,http://www.barmherzige-schwestern.at/kettenbruecke/bakip.htm,81044,531899999798000,238267,155200001000000,11,404182266000101,47,278265042000001
11,Berufsschule Garten, Raum und Mode,Mandelsbergerstraße 12,http://www.tfbs-bekleidung.tsn.at,79247,674399999902000,235843,187100001000000,11,380008649000001,47,256684679000003
12,Fachschule für Sozialbetreuungsberufe (SOB),Maximilianstraße 41,http://www2.caritas-innsbruck.at/ausbildung/ausbildung.cfm,79876,265999999800000,236435,555400001000000,11,388417467000099,47,261936012000000
13,BBA für Kindergartenpädagogik und Horterziehung,Haspingerstraße 5,http://www.bbaki.tsn.at/,79952,314899999605000,236138,637300000000000,11,389369158000100,47,259256542999999
14,Berufsschule Installation und Blechtechnik,Mandelsbergerstraße 12,http://www.tfbs-installation.tsn.at,79258,919200000397000,235834,257400000000000,11,380155607000100,47,256603019000103
15,Berufsschule Kraftfahrzeugtechnik,Mandelsbergerstraße 12,http://www.tfbs-kfz.tsn.at/,79277,109299999705000,235820,036100000000000,11,380393371000100,47,256472934000001
16,Berufsschule Metalltechnik,Mandelsbergerstraße 12,http://www.tfbs-metall.tsn.at/,79288,486399999805000,235812,098600000000000,11,380542251000101,47,256400181000103
17,BG/BRG Reithmannstraße,Reithmannstraße 1-3,http://www2.bg-reithmann.tsn.at/,81894,926400000200000,237452,177499999990000,11,415270844000100,47,270830586000002
18,HLA Villa Blanca,Weiherburggasse 31,http://www.villablanka.com/schule/,80467,019100000194000,238380,085100000990000,11,396570938000099,47,279351513000101
19,BA für Leibeserziehung,Fürstenweg 185,http://www.bspa.at/index.php?id=86,77382,392599999905000,235862,929899999990000,11,355372761000099,47,257084051000000
20,HTBLVA Trenkwalderstraße,Trenkwalderstraße 2,http://www.htl-ibk.at/cms/,78987,047199999899000,236216,399000000000000,11,376631688000099,47,260072368000102
21,Wirtschaftskundliches Realgymnasium Ursulinen,Fürstenweg 86,http://www.ursulinen.tsn.at/,78485,503999999695000,236457,263299999990000,11,370048365000100,47,262298489999999
22,BRG in der Au,Bachlechnerstraße 35,http://www.brg-inderau.tsn.at/,78801,207899999805000,236675,019200001000000,11,374257342000099,47,264219108000098
23,HBLA-West,Technikerstraße 7a,http://www.hbla-west.tsn.at,76842,351400000000000,236690,970200000010000,11,348380988000100,47,264594097000000
24,Berufsschule Elektrotech.-Kommunikation-Elektronik,Lohbachufer 6,http://www.eke.at/,77589,224000000395000,236707,130799998990000,11,358251027000099,47,264651841999999
25,Berufsschule Handel und Büro Innsbruck,Lohbachufer 6b,http://www.tfbs-handel-innsbruck.tsn.at,77620,974100000196000,236767,059000000010000,11,358680870000100,47,265187050000101
26,Berufsschule Schönheitsberufe,Lohbachufer 6a,http://www.tfbs-schoenheit.tsn.at,77600,336599999995000,236742,055800000000000,11,358403887000099,47,264964622000001
